               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.028023,            0.014342,                   0,             0.86943,             0.87051,             0.88417,             0.63918,            0.022169,           0.0052635,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.027763,             0.01375,                   0,             0.85364,             0.85678,             0.86456,             0.62485,            0.022499,           0.0056081,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.027292,            0.013897,                   0,             0.88034,             0.87871,             0.89753,             0.65008,            0.021572,           0.0052958,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.027186,            0.014027,                   0,             0.85542,             0.87312,             0.88938,             0.64325,            0.021417,            0.005322,                   0,             0.00868,             0.00868,             0.00868
                  42,             0.02679,            0.013205,                   0,              0.8678,              0.8558,             0.89633,              0.6485,              0.0217,           0.0053282,                   0,            0.008647,            0.008647,            0.008647
                  43,             0.02799,            0.013825,                   0,             0.86496,             0.86755,             0.88894,             0.64458,            0.021448,           0.0052432,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.027245,            0.013822,                   0,             0.86486,             0.89271,             0.88761,               0.647,            0.021498,           0.0051854,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.026921,            0.013576,                   0,             0.84847,             0.88814,             0.88504,             0.63497,            0.022146,           0.0053575,                   0,            0.008548,            0.008548,            0.008548
                  46,             0.02682,            0.013577,                   0,             0.85758,             0.87129,             0.88996,             0.64793,            0.020929,           0.0052285,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.027005,            0.013608,                   0,             0.85915,             0.87547,             0.88777,             0.64782,            0.020922,           0.0053514,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.027126,            0.014022,                   0,             0.86381,             0.88747,             0.89671,             0.64503,            0.022051,           0.0051974,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.026836,            0.013578,                   0,             0.87262,              0.8814,             0.88831,             0.64889,            0.021355,           0.0052858,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.026832,            0.013611,                   0,             0.86647,             0.86577,             0.88505,             0.64343,            0.021596,           0.0053821,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.026341,            0.013569,                   0,             0.87089,             0.87723,             0.89236,             0.65173,            0.021447,           0.0052496,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.027265,            0.013427,                   0,             0.86201,             0.88342,             0.88894,             0.65467,            0.021121,           0.0051878,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.026169,            0.013383,                   0,             0.85148,              0.8841,             0.89209,             0.65233,            0.021987,           0.0052944,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.026749,             0.01348,                   0,             0.84814,             0.88065,             0.87982,             0.63882,            0.021637,            0.005301,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.026506,            0.013457,                   0,             0.87054,             0.88342,             0.88671,             0.64976,            0.021441,           0.0052581,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.026286,            0.013084,                   0,             0.87028,             0.86792,             0.89051,             0.64603,            0.021898,           0.0052255,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.026592,            0.013481,                   0,             0.85285,             0.88342,             0.87885,             0.64937,            0.021021,           0.0052875,                   0,            0.008152,            0.008152,            0.008152
                  58,             0.02638,            0.013177,                   0,             0.85617,             0.88881,             0.88799,             0.65402,            0.021519,           0.0053133,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.026283,            0.013257,                   0,             0.86373,             0.88814,             0.89436,              0.6593,            0.021285,           0.0051775,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.025765,            0.012975,                   0,             0.85439,             0.87385,             0.88528,             0.65375,            0.021527,           0.0053231,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.026304,            0.013268,                   0,             0.86877,             0.88778,             0.89434,             0.65965,            0.021915,           0.0052804,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.025648,            0.013341,                   0,              0.8795,             0.88529,             0.89718,             0.66124,            0.021083,           0.0051688,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.025382,            0.013274,                   0,              0.8761,             0.86725,             0.89779,             0.65536,            0.021025,           0.0052375,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.026055,            0.013245,                   0,             0.87969,             0.87197,               0.891,             0.65307,            0.020848,           0.0052235,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.025781,            0.012914,                   0,             0.86941,              0.8841,             0.88889,             0.65244,            0.021479,           0.0052578,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.026095,            0.013057,                   0,             0.88697,             0.87781,             0.89731,             0.66225,            0.020861,           0.0051019,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.026095,            0.012898,                   0,             0.87757,             0.86523,             0.89237,             0.65639,            0.020738,           0.0052118,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.024994,            0.012901,                   0,             0.86789,              0.8814,              0.8928,              0.6661,            0.021124,           0.0052272,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.025301,              0.0132,                   0,             0.87901,             0.86456,             0.88606,             0.65453,            0.021438,           0.0053351,                   0,            0.007756,            0.007756,            0.007756
                  70,             0.02458,             0.01291,                   0,             0.86061,              0.8942,             0.90057,             0.66538,            0.021073,           0.0052214,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.025415,             0.01269,                   0,             0.85309,             0.89555,             0.89626,             0.66301,            0.021071,           0.0052192,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.025252,            0.013086,                   0,             0.86352,             0.90389,             0.89695,             0.66449,            0.020975,            0.005107,                   0,            0.007657,            0.007657,            0.007657
                  73,             0.02535,            0.012988,                   0,             0.86681,             0.89286,             0.89865,             0.66639,            0.021216,           0.0050755,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.024905,            0.012807,                   0,             0.87391,             0.87534,             0.90179,             0.66062,            0.021731,           0.0052119,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.025743,            0.013151,                   0,             0.87525,              0.8841,             0.89524,             0.66125,            0.021571,           0.0051723,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.025329,            0.012908,                   0,             0.87756,             0.88342,             0.89363,              0.6619,            0.021255,           0.0051585,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.024996,            0.013107,                   0,             0.87023,             0.89286,             0.89732,             0.65911,            0.021614,           0.0051586,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.024648,             0.01239,                   0,             0.86179,             0.90027,             0.90111,             0.67307,            0.021293,           0.0051889,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.025218,            0.013016,                   0,             0.87147,             0.89552,             0.89723,             0.66409,            0.021442,           0.0052275,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.024465,            0.012401,                   0,             0.86698,              0.8969,             0.89105,             0.64992,            0.021761,           0.0053176,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.025006,            0.012696,                   0,             0.87853,             0.88477,             0.89201,             0.66183,            0.021326,           0.0051597,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.024408,            0.012562,                   0,             0.87174,             0.89312,             0.89699,             0.66647,            0.021379,           0.0051801,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.024798,            0.012866,                   0,             0.87134,             0.90296,             0.90368,             0.66699,            0.021445,           0.0051209,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.024572,             0.01247,                   0,             0.86074,             0.89963,             0.89846,             0.66789,            0.021426,           0.0051832,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.024813,            0.012767,                   0,             0.87942,             0.88275,             0.89826,             0.66599,            0.021452,           0.0051365,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.024699,            0.012351,                   0,             0.87607,             0.88125,             0.89707,             0.66942,            0.021395,           0.0051424,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.024013,            0.012293,                   0,              0.8839,             0.87736,             0.89999,             0.66949,            0.021398,           0.0051923,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.024433,            0.012422,                   0,             0.87012,              0.8942,             0.89928,             0.66986,             0.02105,           0.0051666,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.024301,            0.012309,                   0,             0.87216,             0.88612,             0.89877,             0.66912,            0.021185,           0.0051701,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.024646,             0.01274,                   0,             0.88982,             0.86792,             0.89468,             0.66125,            0.021133,           0.0051998,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.025213,            0.012557,                   0,             0.87712,             0.89945,             0.89301,             0.66273,            0.021437,            0.005162,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.024747,            0.012499,                   0,               0.881,             0.89302,             0.89861,             0.66833,            0.021453,           0.0051184,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.024119,            0.012295,                   0,              0.8771,             0.90633,              0.8988,             0.66978,            0.021159,           0.0050699,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.024851,            0.012564,                   0,             0.87327,             0.90499,             0.90087,             0.66673,            0.021314,           0.0051399,                   0,            0.006931,            0.006931,            0.006931
                  95,             0.02487,            0.012569,                   0,              0.8779,             0.89637,             0.89481,             0.66583,            0.021048,           0.0050884,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.024319,            0.012454,                   0,             0.88365,             0.89562,             0.89989,             0.66884,            0.021192,           0.0051145,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.024219,            0.012745,                   0,             0.87932,             0.90431,             0.90248,             0.66957,            0.021201,           0.0051372,                   0,            0.006832,            0.006832,            0.006832
                  98,              0.0241,            0.012436,                   0,              0.8822,              0.8969,             0.90059,             0.66314,            0.020908,           0.0051437,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.024047,            0.012539,                   0,             0.88187,             0.89041,             0.89815,             0.66497,            0.020662,           0.0050969,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.024065,            0.012205,                   0,              0.8799,             0.89357,              0.9001,             0.66942,            0.020966,           0.0050803,                   0,            0.006733,            0.006733,            0.006733
